AveragePolicyStd,LossAfter,Perplexity,MeanKL,LossBefore,MinReturn,Entropy,AverageReturn,ExplainedVariance,Iteration,StdReturn,NumTrajs,MaxReturn,dLoss,AverageDiscountedReturn,MeanKLBefore
1.0,-0.0503436622504,17.0794684453,0.0547744960398,-1.86354901747e-16,-11983.2553023,2.83787706641,-9925.7214334,7.77156117238e-16,0,3436.5118737,1334,-0.501628429825,0.0503436622504,-9728.22429158,0.0
0.99239013178,-0.0384284427915,16.8205100187,0.037115454257,1.48695537531e-17,-11939.3700582,2.82259897624,-9637.30780989,0.0207494841147,1,3643.12318038,1334,-0.209379276214,0.0384284427915,-9445.5493041,0.0
0.941273740082,-0.0252725129477,15.1127553755,0.0789068549975,-2.80191218109e-17,-12039.7134997,2.7155391141,-9004.75616385,0.0199034656342,2,4246.14850785,1334,-0.257784062398,0.0252725129477,-8825.58443256,0.0
0.914956764669,-0.0573372079919,14.2291265985,0.0590136980532,-1.63676058103e-17,-12039.7941986,2.65529103274,-8980.38893545,0.00672932589431,3,4371.82749062,1334,-0.302811430436,0.0573372079919,-8801.70081636,0.0
0.876215903352,-0.00853041726265,12.8921671448,0.0319413019799,-5.1904729612e-17,-11856.3769035,2.55661992887,-8345.72815777,0.000643633919641,4,4760.33356265,1334,-0.516094540203,0.00853041726265,-8179.66996054,0.0
0.840813750181,-0.0679613805005,11.8040176906,0.0889525538467,-9.57643648427e-17,-11884.5407592,2.46843995577,-8585.57487565,0.00612647293993,5,4599.1325651,1334,-0.481564630403,0.0679613805005,-8414.74318551,0.0
0.788022592108,-0.0197732867117,10.1396559708,0.0726133569119,1.75882408199e-17,-11829.3018164,2.31645406966,-7950.84301161,-0.00550141127222,6,4919.87329481,1334,-0.344131042799,0.0197732867117,-7792.64100945,0.0
0.754148819528,-0.028876103739,8.96352962038,0.0622271211402,-6.71904089366e-17,-11850.8798285,2.19316408026,-7215.83566866,-0.00180878923714,7,5193.90901924,1334,-0.237460793797,0.028876103739,-7072.25873578,0.0
0.729545564673,-0.0720695451155,8.00257257849,0.0814032582376,-5.14886040406e-17,-11729.8545717,2.0797630623,-7178.75086862,-0.000492666839312,8,5202.10016249,1334,-0.249975820226,0.0720695451155,-7035.91116961,0.0
0.688500131403,-0.0777789070203,6.54750491075,0.0933279726204,-3.07378088777e-17,-11660.1063606,1.87908404742,-5737.96684051,0.00658534255605,9,5446.11149858,1334,-0.253238859836,0.0777789070203,-5623.79712169,0.0
