# iter, v, x_car, y_car, x_ped, y_ped, del_x, del_y, reward, v_new, x_car_new, y_car_new, x_ped_new, y_ped_new
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,5.090123311190772881e-01,2.000000000000000000e+00,-1.064751710262214157e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.009012331119077288e+00,5.200000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.009012331119077288e+00,5.200000000000000000e+01,5.000000000000000000e+00,6.695336476565811878e-01,-1.947685600201014777e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.200901233111907729e+01,5.266953364765657852e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.200901233111907729e+01,5.266953364765657852e+01,5.000000000000000000e+00,2.000000000000000000e+00,-1.135973990539939041e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,1.700901233111907729e+01,5.466953364765657852e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-2.573036449132386938e+00,2.000000000000000000e+00,-1.082263576704416863e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,3.926963550867613062e+00,5.200000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,3.926963550867613062e+00,5.200000000000000000e+01,-5.000000000000000000e+00,2.000000000000000000e+00,-1.641582107322725470e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,-1.073036449132386938e+00,5.400000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,-1.073036449132386938e+00,5.400000000000000000e+01,1.920198289213098874e+00,1.368672591887041712e+00,-1.058985099969145449e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,8.471618400807119365e-01,5.536867259188704082e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,4.128702113939446861e+00,-4.436211810590082738e-01,-1.814025319061137065e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.062870211393944686e+01,4.955637881894099195e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.062870211393944686e+01,4.955637881894099195e+01,1.284015890866233356e+00,-1.834345370037138157e+00,-1.257780433660738106e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.191271800480567933e+01,4.772203344890385068e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.191271800480567933e+01,4.772203344890385068e+01,-2.602583223651102173e+00,-6.779437064956319592e-01,-1.138200219687106437e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,9.310134781154577155e+00,4.704408974240821806e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,5.501329739577967004e-01,1.783847014792967478e-01,-9.374847581571378319e-01,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.050132973957796700e+00,5.017838470147929542e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.050132973957796700e+00,5.017838470147929542e+01,4.869567760132365919e+00,4.522202262820727015e-01,-1.927945717307260942e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.191970073409016351e+01,5.063060492776136812e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.191970073409016351e+01,5.063060492776136812e+01,-5.000000000000000000e+00,-2.000000000000000000e+00,-1.116240309682657244e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,6.919700734090163508e+00,4.863060492776136812e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-5.000000000000000000e+00,2.000000000000000000e+00,-1.641582107322725470e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,5.200000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,5.200000000000000000e+01,2.441828307812432541e+00,-3.592999544961750225e-02,-1.491080146321214883e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,3.941828307812432541e+00,5.196407000455037917e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,3.941828307812432541e+00,5.196407000455037917e+01,-8.161685187910974193e-01,7.000070118817207643e-01,-1.074635498950802685e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,3.125659789021335122e+00,5.266407701643210260e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-2.609808663294863607e+00,2.000000000000000000e+00,-1.092297444313919952e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,3.890191336705136393e+00,5.200000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,3.890191336705136393e+00,5.200000000000000000e+01,7.099137157801571618e-02,-1.151411955430539757e+00,-8.155998490147239322e-01,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,3.961182708283152110e+00,5.084858804456946046e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,3.961182708283152110e+00,5.084858804456946046e+01,7.434015094268495716e-01,1.199374855869084211e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.704584217710001681e+00,5.204796290043854157e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-5.000000000000000000e+00,2.000000000000000000e+00,-1.641582107322725470e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,5.200000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,5.200000000000000000e+01,5.265469582818260719e-01,2.000000000000000000e+00,-1.069552072667411036e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,2.026546958281826072e+00,5.400000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,2.026546958281826072e+00,5.400000000000000000e+01,3.799289130371303003e+00,3.600022512147122988e-01,-1.057937393745557893e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,5.825836088653129075e+00,5.436000225121470919e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,2.457526462698345071e-01,2.000000000000000000e+00,-9.927321414697164448e-01,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.745752646269834507e+00,5.200000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.745752646269834507e+00,5.200000000000000000e+01,-4.671183222148079572e+00,1.509511589838897549e+00,-1.563019431344575993e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,2.074569424121754935e+00,5.350951158983889400e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,2.074569424121754935e+00,5.350951158983889400e+01,2.402826459608227161e+00,1.226758394884904124e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.477395883729982096e+00,5.473626998472379768e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-1.069292730456333551e+00,7.906843173151298920e-01,-3.796212481426796126e-01,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,5.430707269543666449e+00,5.079068431731513300e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,5.430707269543666449e+00,5.079068431731513300e+01,-2.558694473758956534e+00,2.000000000000000000e+00,-1.078344862205548926e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,2.872012795784709915e+00,5.279068431731513300e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,2.872012795784709915e+00,5.279068431731513300e+01,1.818893742233639088e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.690906538018349003e+00,5.479068431731513300e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-8.511670859154296664e-02,1.902782196495732769e+00,-8.877432330206710409e-01,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.414883291408457033e+00,5.190278219649573543e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.414883291408457033e+00,5.190278219649573543e+01,-3.445291495905590473e+00,2.000000000000000000e+00,-1.309471613378677235e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,2.969591795502866560e+00,5.390278219649573543e+01
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,2.969591795502866560e+00,5.390278219649573543e+01,-1.411366622520807468e+00,2.000000000000000000e+00,-1.050439302991049226e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,1.558225172982059092e+00,5.590278219649573543e+01
